environment_transformation,inferred_actions,counterfactual_prediction_error_per_action
1,2,"[1.1502791325584951, 1.1995008003074088, 0.7745608707944102, 1.6249449909760356, 1.1796221248659071]"
3,4,"[1.2784508090885442, 1.373116928167871, 1.161517998190956, 1.6934197174155663, 1.0232668779648937]"
3,4,"[1.2937161241325248, 1.4635202411281099, 1.3408995306656537, 1.4898185385328682, 0.8333093713268555]"
6,3,"[1.4012412428866925, 1.326280133493191, 1.3843129051303766, 1.3234423286718433, 1.7828576032363448]"
3,4,"[1.0885701232195837, 1.206318441643606, 1.0885218296415191, 1.384194156187946, 0.9592888882629829]"
1,2,"[0.7929302516903703, 1.0139945307891116, 0.6745860084135198, 0.9545619424554042, 0.937564300555462]"
1,2,"[0.9168336581018466, 0.9204629570929288, 0.6189103135752878, 1.0245870007137607, 1.1194524053917942]"
5,4,"[0.9520764354804189, 1.1494063450895777, 0.8930090562583246, 1.1818695942821633, 0.858339935721389]"
5,1,"[1.0639542030045257, 0.8449575854054974, 0.9233253431626883, 1.1709141365814328, 0.8991695234747714]"
2,3,"[0.8590111961255046, 0.8702696792471779, 0.8836067068120718, 0.7525444164217214, 1.0799864545026074]"
4,3,"[0.8009577273119847, 0.6938825920963607, 1.0927397433042543, 0.6028588826679095, 1.204798130984012]"
8,3,"[1.3798629745672493, 1.316722607488336, 1.4972013280940129, 1.0864467832089848, 1.561049541818124]"
3,4,"[1.15479082389669, 1.1978184302844277, 1.200617364360728, 1.3542192188254605, 0.519234431465221]"
3,4,"[1.0761649182525146, 1.3094654419361993, 1.2306841105041482, 1.2595292085530336, 0.8672453572632005]"
1,1,"[0.8992551063510977, 0.8745970941739777, 0.9098630263366609, 1.3116145769082197, 1.0680047540427269]"
5,4,"[0.9857505591291583, 1.0527479380970166, 1.0611595283663102, 1.267678022669061, 0.8036260679265237]"
4,3,"[1.0237869620468136, 0.9366188201863657, 1.1045504935091137, 0.7986609225160178, 1.2064986456525808]"
5,4,"[1.1539502224835223, 1.1397219613628482, 1.0388680481833594, 1.2862472881733629, 0.9259577465524262]"
3,4,"[0.8408695982825145, 0.9307765266733032, 0.9440442117855403, 1.0966926447985694, 0.6327851399481745]"
6,3,"[1.1451676849568861, 1.0693919820954092, 1.1702230410556482, 0.8618563377721807, 1.3460785684276322]"
0,1,"[0.9085921230312749, 0.8860537462970992, 0.9904032316500634, 0.9248128993868115, 1.090517946752463]"
0,0,"[0.6797737701202466, 0.7799587693627499, 0.7508192583456894, 0.9318882198857722, 0.975272998302009]"
1,3,"[0.7777655124973617, 0.8404096834638272, 0.7565022297436726, 0.7125953243351463, 1.1752657530647785]"
1,4,"[0.7911315143991152, 0.904831868685778, 0.8195017947351403, 0.9938357248173177, 0.7303289343889955]"
6,3,"[1.1630349943942633, 0.985301997423239, 1.1961719058147278, 0.6766928669159086, 1.394032293231322]"
1,2,"[0.9878580107686493, 1.034181610870464, 0.6198333119982008, 1.058338250030462, 1.2055357322930882]"
6,3,"[1.2367693769868535, 1.5269859498108622, 1.2273435379230027, 0.8992099145397274, 1.531497713252153]"
0,0,"[0.9964425399279659, 1.0576223190794527, 1.0922823794379197, 1.4002030155644736, 1.49800381194738]"
1,2,"[0.9975965183538029, 1.2491974455009087, 0.994291558581726, 1.1644080481493337, 1.5481566841569945]"
6,3,"[1.4446556087299993, 1.3731166432486717, 1.3366332693518281, 1.1053336591862535, 1.8836893884527803]"
7,4,"[1.328128335964012, 1.1654224759726892, 1.2012916746149285, 1.6907636559178667, 0.9706378339624677]"
0,2,"[1.0093392398783128, 0.9909594764902832, 0.9339431327218494, 1.0921323623945225, 1.4613058751116612]"
3,4,"[1.2177362790069173, 1.273715897440727, 1.3544263386901847, 1.827328251431491, 0.7793852686257493]"
5,4,"[1.4135629565495056, 1.3727161305102946, 1.4739988021802284, 1.7353084585386924, 1.0625788648941168]"
8,3,"[1.4389509449881643, 1.3093767032297057, 1.296299530149215, 1.062778238169438, 1.8050307517611126]"
4,3,"[1.1536523527286957, 1.2377745748483793, 1.512337346082046, 0.7620563365833126, 1.6944119104916238]"
2,1,"[0.9360199406326457, 0.7563883981050479, 1.1131558986715555, 1.4135672151883512, 1.5200814308381967]"
1,2,"[0.9572008978588008, 1.264535186868744, 0.8262529223876879, 1.404469416799185, 1.3935197751757582]"
8,3,"[1.3831517794293275, 1.4379010751402632, 1.4251789018544931, 0.8190845955572106, 1.9708639168392108]"
4,3,"[0.5767897122903214, 0.5538225034418002, 0.6150843554379724, 0.21864558671304782, 0.767759762281326]"
8,3,"[0.5938326321808098, 0.5825689429270215, 0.5819354867957893, 0.27175349307570745, 0.801617405363228]"
7,4,"[1.7568258397136807, 1.7366486203451537, 1.7786879764701269, 2.2831180928045063, 1.0473157744141404]"
3,4,"[1.3062553430694313, 1.3138182069207684, 1.127989366313741, 1.5880940011050184, 0.7312731520916281]"
7,4,"[1.6384347565030064, 1.4912392750462498, 1.5731566781976605, 1.7365898209242503, 0.8726207454687126]"
4,3,"[1.277811657958026, 1.2069601717805747, 1.2301582338913026, 0.8436744941215857, 1.3608267032604036]"
3,4,"[1.4218927199480234, 1.4416750295193008, 1.3048227500100145, 1.4837300724888596, 1.0441258875544295]"
2,1,"[0.9687129890540671, 0.702641796349885, 1.128653551898767, 1.355287754881752, 1.3512642997823492]"
4,3,"[1.3794976687740748, 1.4185124579948658, 1.3875667822214932, 1.008044865081525, 1.4998798681651921]"
2,1,"[0.8543376254851366, 0.605618384686374, 1.1118378163097096, 1.2616849304651971, 1.3855632533820923]"
7,4,"[1.2841335618753162, 1.259439594547437, 1.2892086950398376, 1.5303176247521817, 1.0485973127053663]"
1,2,"[0.967171859913799, 1.0395485399428717, 0.9575286438937542, 1.3082288920323144, 1.1784400841676492]"
8,0,"[0.9276707724666035, 0.9602916360164659, 1.1981006948200166, 0.9419859273292066, 1.1297906238534232]"
2,1,"[0.9427118985620947, 0.6691564798161601, 1.0696486783227965, 1.318512409988945, 1.2402155114996218]"
3,4,"[1.2767407599511702, 1.258384176473021, 1.3393804789448722, 1.654841367268247, 0.7409947479300203]"
3,4,"[1.1404544504114034, 1.1742990898621275, 1.220025804299833, 1.5433071088922137, 0.6793805381264645]"
2,1,"[0.8105330680197502, 0.724214938195874, 1.1275559043757524, 1.273123749602746, 1.3229528399127912]"
8,3,"[1.2083978541281395, 1.1950198418211628, 1.3373194251035987, 0.9314531255042374, 1.2807482905260046]"
0,0,"[0.7236876963008156, 0.8429948430027673, 1.065408421696067, 1.1666157298005628, 1.0083315984653667]"
1,2,"[1.0020505127974033, 1.0283720295147458, 0.7482762999614275, 1.3105228249756855, 1.1770670702861594]"
4,3,"[1.3282246156948554, 1.403547174814292, 1.4534453706795214, 0.8088800942095807, 1.5265839336422118]"
2,1,"[0.980696228499986, 0.7121331898665776, 0.9985523482156825, 1.3111284378642964, 1.3631835444144287]"
2,0,"[0.9138785404121732, 0.9195256274297582, 1.2373891216174855, 1.5603067434432578, 1.3942904862042045]"
7,4,"[1.3972804828200256, 1.2822106251065957, 1.2592122712911011, 1.44381355081279, 1.0172785907206225]"
7,4,"[1.3855539012765956, 1.4238526823337236, 1.3693336942704284, 1.602703785256751, 0.9849266795633398]"
1,2,"[1.2161238906006315, 1.416720435668178, 0.9282571839770186, 1.5338701581134992, 1.189023919828901]"
2,1,"[1.4211262087304843, 0.8620632833968089, 1.425767789298627, 1.2783776356850307, 1.68976789443772]"
4,3,"[1.3148293476297777, 1.3817947835315945, 1.4023494878823062, 0.60206503242394, 1.48824064481629]"
2,1,"[0.8223575194218958, 0.6339956851027323, 1.2726797986879466, 1.1605831325663611, 1.3971572348430732]"
8,3,"[1.4113362696782163, 1.3582875410764863, 1.63851612960054, 1.1492098794489556, 1.668995030317345]"
8,3,"[1.3834073238015423, 1.4387523465808407, 1.457182291587198, 0.8827681668098586, 1.624052663795478]"
3,4,"[1.3253657510185628, 1.3357510149410128, 1.311911746941805, 1.5805895446548024, 0.9850359264014336]"
6,3,"[1.1695512114175801, 1.2088893669142222, 1.1054502001996365, 0.8407452053635844, 1.4798578453497406]"
6,2,"[1.387376113674235, 1.4418303167619357, 1.3345211938525954, 1.38952198758313, 1.586056949016409]"
3,4,"[1.3558414696573444, 1.511761253556397, 1.3922560091225866, 1.4296900924428104, 0.9017927678603225]"
7,0,"[1.0899260988458588, 1.2522128164326005, 1.2958810092216047, 1.4284829375688022, 1.1814531305118856]"
3,4,"[1.2900248664054574, 1.3613938205082063, 1.3809288295919266, 1.6702092169881306, 0.9267295180121148]"
8,3,"[1.372476208967169, 1.2826405925488114, 1.6059639317714687, 1.1077585345320051, 1.8652211053485126]"
0,0,"[0.909919073075037, 1.1765683123809763, 1.02463620151293, 1.3225245546364635, 1.4153130559578735]"
2,1,"[0.9320259491709941, 0.8146622201178272, 1.236532036656087, 1.4893666155117862, 1.3636186164608464]"
7,4,"[1.282549408892183, 1.18503749525822, 1.162621902040252, 1.4957674606338514, 1.0459358985508111]"
1,2,"[0.8219188869333531, 1.1889228627893436, 0.7109379558841272, 1.0132289078236778, 1.1961683256299775]"
0,0,"[0.831472328864568, 0.8557849275733201, 0.8728690431737791, 0.8869648383956041, 1.1564754487962077]"
2,1,"[0.8812936064210665, 0.6433459888654424, 1.014008798886256, 0.815544695099813, 1.114389090145368]"
6,3,"[1.015298470244611, 1.156067918096624, 1.1770505582588093, 0.7637052558287029, 1.3636457643244966]"
0,0,"[0.9424347521068692, 0.9790734291015054, 1.008632779177624, 1.2925899076570477, 1.269371023955592]"
5,4,"[0.929516694425156, 1.1473998073434868, 0.9508344167847219, 1.088399117770244, 0.7599076935404104]"
7,4,"[1.004114144015148, 1.0964084083083847, 0.9427931048493099, 1.075343527114368, 0.8585908588495146]"
5,2,"[1.0430889867012094, 1.0983578279407666, 1.0178387819570307, 1.029696557218295, 1.0513989141216078]"
6,1,"[1.0072150526032078, 0.861957249704526, 1.0130033146559057, 0.884341241384765, 1.2995694329832632]"
4,3,"[1.3453994895074524, 1.2258512405264854, 1.4189464583384594, 0.7451909607856725, 1.666646108226718]"
3,4,"[1.028075938354729, 1.0488301083290048, 1.0646800936403138, 1.170986721371469, 0.7567146125868502]"
7,2,"[0.8979463495516872, 0.8863323179555708, 0.7739093011580743, 0.946667471480711, 0.8565197704713101]"
1,2,"[0.8317314755422401, 0.9410200396585631, 0.6619746902761867, 0.8499308769761675, 0.982125020029036]"
1,0,"[0.7974017952382106, 1.0214858964794318, 0.8345626930751144, 1.0008740909191145, 0.8886884655050488]"
5,1,"[1.0095901501338882, 0.9424195887514558, 1.0012117815753871, 1.1558936143045848, 0.9799066564755388]"
5,4,"[0.9907622841289299, 1.1076076428095747, 1.0345848044778418, 1.149188196428274, 0.9562255292186372]"
7,4,"[0.8355814054203706, 0.9012278264624964, 0.8745593047740621, 0.7963874814906802, 0.7703477172544448]"
2,3,"[0.8155688286305663, 0.7350505520647816, 0.9344415413170364, 0.6907382438825372, 1.0332578371038963]"
2,1,"[0.884110478866757, 0.7612621424953261, 1.0286728287519058, 0.9743094939584959, 0.9975665111709032]"
3,4,"[0.9436497792903343, 1.162105841686334, 1.079597920335992, 1.114239366010994, 0.6694411827756406]"
4,3,"[1.0986928464619747, 0.9730246055893249, 1.1071794641565786, 0.7243992352979624, 1.3224018391840446]"
6,0,"[0.7742667446317912, 0.9922741208645777, 0.9979906003135154, 0.8089018125922294, 1.2932751295435696]"
2,1,"[1.0414269995915202, 0.9362015127505587, 1.3141431465417523, 1.218860008037843, 1.6979497029296238]"
4,3,"[1.2780633979497018, 1.0164636260490756, 1.429918570869739, 0.8004077116976472, 1.5915616057722881]"
5,4,"[1.3774525503735549, 1.2751802009630062, 0.998949755650231, 1.4925743970300651, 0.9447481310379263]"
2,1,"[0.8434129534120288, 0.5938589682823255, 0.9347571925378756, 1.0596947857077113, 1.2607061638974968]"
4,3,"[1.2927968747042295, 1.3484463100650619, 1.501885367091688, 1.0433228628421267, 1.722788667015945]"
5,4,"[1.1869215602157959, 1.426010275916618, 1.1434993937590427, 1.481993591354607, 0.9563810554054886]"
4,3,"[1.1839047567364336, 1.2606381589664652, 1.3177927746710403, 0.8528373771216851, 1.4024348025319509]"
3,4,"[1.1669698228734515, 1.0674708360289105, 1.1319865158961164, 1.2610728080682767, 0.8584947207600133]"
7,4,"[0.8282114215054363, 0.9150121347308022, 0.9534771943263884, 0.9499094478688286, 0.7522441548581115]"
7,1,"[1.000967348047511, 0.8403165193544275, 1.1677279318031415, 0.9598724324519633, 0.9771137296228767]"
4,3,"[0.9328484514247346, 0.9869927420189544, 1.020979616268368, 0.9167030709574592, 1.2491097649186764]"
1,0,"[0.8132144489134382, 1.2657597718199944, 0.8439264708188678, 0.8354854718048365, 1.070052587659848]"
0,0,"[0.66172413684964, 0.7535810518306778, 0.8491673989469484, 0.9467156609341351, 0.8677309080500922]"
6,3,"[1.0237441080069276, 1.1317097610823812, 1.1977765203358135, 0.8097822756537828, 1.3717486900212648]"
6,3,"[0.9434077713835489, 1.1215987729216972, 0.9706672479108327, 0.7909531854542092, 1.3144209523222279]"
1,2,"[0.7702524620065516, 0.9164262173078731, 0.6541115072009995, 0.8993272937948515, 0.8609717378349605]"
4,3,"[1.0070232075290717, 1.0140180646230905, 1.1596829724517737, 0.8850797536991916, 1.1755898276366692]"
8,3,"[1.468610534888307, 1.3843029467461232, 1.6844032537094742, 1.0594741735528146, 1.7844051750613574]"
0,0,"[0.8996646493316003, 0.9728981060451383, 1.1537808537935088, 1.1289039979484383, 1.1820238817088469]"
7,4,"[1.4128169448122534, 1.3821315632286437, 1.4391490450263096, 1.702410378625911, 1.135085138450737]"
3,4,"[1.0368351354716094, 1.3728445787142902, 1.011842938498867, 1.2550035129161747, 0.7694618205831982]"
3,4,"[0.8731623467571543, 0.9584068865958718, 0.8390838170766571, 0.9337587960996679, 0.7858669111356733]"
1,2,"[1.0035201548951627, 1.124440734792585, 0.6848991989856671, 1.0983909671525436, 1.0787589764195826]"
3,4,"[0.8587234567957458, 0.7942417357833338, 0.8274298841218751, 1.0270317850442052, 0.7481896095647699]"
3,4,"[0.9687998398705615, 1.112701314244246, 1.0305873019431055, 1.1137411159965387, 0.8917958551299929]"
1,2,"[0.7804924517927531, 1.0607597734717502, 0.7777197184190883, 0.9612478661037185, 1.0057647925864786]"
0,0,"[0.7529251322346127, 0.8331070390748171, 0.8185475669302742, 0.8514316106802239, 1.090081676895101]"
2,1,"[0.8811406245217579, 0.6463106023733503, 1.2540736930390828, 0.8402708527048474, 1.2222219056324446]"
5,2,"[1.2511741056842707, 1.2543039718553886, 1.0523939083316738, 1.3707822714047748, 1.0623662608140598]"
0,1,"[0.8150688100528921, 0.7943537823383591, 0.8627183258392481, 0.8695455993186157, 1.2028874605231714]"
2,1,"[1.0584382690423246, 0.8784517698068172, 1.1767280140466057, 1.1651084335550022, 1.2514926434303377]"
2,0,"[0.6944612158515976, 0.8782275533964277, 1.0397692376281098, 0.839121356320002, 1.0680723646860777]"
8,3,"[1.057968897302179, 1.05638847784538, 1.3997375321383094, 1.0318471095685304, 1.565296316286749]"
8,1,"[0.9869297358719469, 0.8318979873649303, 1.3018410278764312, 0.9295127560368248, 1.1345814103329483]"
2,1,"[1.1232651360797998, 0.9514963408924932, 1.0277805013084085, 1.0080844077985116, 1.0073082537346671]"
6,0,"[1.0319755700985922, 1.271404545479231, 1.1418354878418606, 1.1144430112373438, 1.1452316238293028]"
5,4,"[1.024604894968503, 0.908734722514793, 0.8647537695956866, 1.0897892077511195, 0.7413310137285309]"
7,4,"[1.0127869285915372, 1.0360346704715506, 1.1069953519065459, 1.1160911872778807, 0.9845262899830493]"
3,4,"[1.051038814116057, 1.1290708337351463, 1.0999677862792543, 1.3008711167964404, 0.8857636838866034]"
2,1,"[1.023998110507826, 0.8493693555514282, 1.2314537417191855, 1.1745828190666623, 1.168034996212544]"
8,3,"[0.9863006434099979, 0.8729948825636307, 1.1388996933114488, 0.7574340803746635, 1.090697262253083]"
5,4,"[0.8935948988331271, 1.1696739900084832, 0.9863642203245274, 1.0097873399710535, 0.8774420000205231]"
2,1,"[1.2345213594060789, 0.9189007544941777, 1.3107952705190675, 1.3755732635102542, 1.2502442266819254]"
2,1,"[1.051738232699423, 0.9720175203749252, 1.0664303806304718, 1.2348736246068832, 1.2473835104590967]"
4,3,"[1.0485095146267283, 1.3712686659084503, 1.25860599978995, 0.8090707490450818, 1.3107069726770693]"
6,3,"[1.1002788047176193, 1.1774446765227857, 0.9337003975477743, 0.9079835212357555, 1.6614312918000462]"
2,1,"[0.8960816113754625, 0.7711392886569955, 0.9882656995831212, 0.9112758041432668, 1.2314852533144682]"
3,4,"[1.1944708219741946, 1.039350351365822, 1.1387734317967904, 1.2171190416489195, 0.8970869682363198]"
6,3,"[1.1535586868908978, 1.1556082567100832, 1.0661939304307702, 0.9383962782282324, 1.237448107465777]"
3,4,"[1.0691339449815251, 1.0530179069774552, 0.931199181442896, 1.0484269812783578, 0.8689109905435201]"
3,4,"[1.0277906123623892, 1.045617107698315, 1.3477156105460355, 1.2807565067762876, 0.6702152232878603]"
7,1,"[1.1536382010559512, 1.1082312787110264, 1.1718431278591661, 1.1658848029185962, 1.1471665118095304]"
5,2,"[1.1850352666607749, 1.253192476168603, 0.9319818147980603, 1.1613107485224923, 1.0138966017240203]"
0,4,"[0.9400299108384048, 1.0632816773635596, 1.0719713559419985, 1.062412904670852, 0.8596494707058544]"
2,1,"[1.0651044720805676, 1.0165932491770335, 1.4381187121559451, 1.4606915953392465, 1.2374217433677344]"
8,1,"[1.0190355988183246, 0.8881127277311579, 1.0274257272873006, 1.113625837374451, 1.4206263233861738]"
7,4,"[1.0943156564425354, 0.9994779532122025, 1.1772552670681338, 1.1482074073041924, 0.938713579419172]"
5,2,"[1.0915919476502418, 1.185857443221579, 0.9584649304046646, 1.1916156488390361, 0.9615184714108992]"
4,3,"[1.1161647963374453, 1.229639148431937, 1.2711482993517724, 1.0604004146315535, 1.4913011568044816]"
3,4,"[1.004518621342095, 1.2592698695744993, 1.0090437854550374, 1.1472606720492795, 0.7732551183982375]"
7,4,"[1.0457195056674673, 0.9429221619950743, 1.2254455847324728, 0.9262420977553569, 0.8514787700948436]"
2,3,"[0.9877994948465768, 1.2867608838129252, 1.0349409707867432, 0.7973349182754674, 1.0984490691957176]"
2,0,"[0.8568165802969294, 1.0729884427991132, 0.9673500181537947, 1.0847658842163193, 0.9441710888638781]"
2,0,"[0.8108868796066306, 0.9001552496466629, 1.042981468067372, 1.0257836546495316, 1.0340700649882488]"
8,1,"[1.0230550615441878, 0.8961090440548402, 1.2088926058346166, 1.0130211775098357, 1.1427103445550135]"
0,0,"[0.8540667860459928, 1.1895422303238825, 0.960098111715428, 0.9301284411767567, 1.2517608109424474]"
7,1,"[0.9731360178459401, 0.7915222648465707, 1.124736637771422, 1.0107562153808327, 0.9857969806234974]"
0,1,"[0.9459273369334855, 0.8395883761425649, 0.9234481600765402, 0.87911421183199, 0.9502957268504619]"
2,1,"[1.0196308954999738, 0.9733683177609691, 1.0084709111784007, 1.002715173476227, 1.318531896662002]"
2,0,"[0.6620236071103156, 0.7664299769473131, 0.9786153414098657, 1.0220270231043087, 0.733948336428026]"
7,1,"[0.9699459002580061, 0.835377762007897, 1.0458903091818732, 1.0891652787147457, 0.9576544761236506]"
1,2,"[0.9370263831715087, 0.9444288281440534, 0.8271125574261823, 1.0774231282680131, 0.8748824393506283]"
2,1,"[0.770048373004523, 0.6782789247422348, 0.9028623005564437, 0.8321346650251243, 1.1401595904661501]"
8,1,"[1.1758092515127905, 0.9415726591595995, 1.2525731450539073, 1.0053391094531352, 1.4584017450014275]"
3,4,"[0.7723762861259589, 0.9428589055162012, 0.7987731714507996, 0.9980965862263534, 0.705081116609951]"
5,0,"[0.7633565140387064, 1.0068805271353989, 0.7888735370137526, 1.0541719174540678, 0.9146088411320996]"
3,4,"[0.8979581169010138, 0.8499702258354481, 1.088737527249533, 1.0242443313710563, 0.7932521091947097]"
0,0,"[0.6350222426682056, 0.8494585638923534, 0.8066774861073385, 0.7232756799933564, 0.7012199391670837]"
6,3,"[1.1860148307800717, 1.2845068047689763, 1.1270761474326318, 0.883820176919252, 1.275473118080505]"
1,2,"[0.7764362834629651, 0.8113770172542911, 0.7144353103792556, 0.9405131695558298, 0.9397261029393247]"
3,4,"[1.0249533491445169, 0.9060762496749218, 0.9405362651985882, 1.3061189204470334, 0.6755822626859544]"
8,3,"[1.1051096134117555, 0.9898003293781907, 1.298300566343747, 0.8466472408253144, 1.4887900277238273]"
3,4,"[1.1098207399649314, 1.058834134981901, 0.9487772459709612, 1.1278480767488888, 0.6391757875006923]"
4,3,"[0.9756733396860554, 1.0396607181342004, 1.206987775443815, 0.7225275338779003, 1.469667941443943]"
0,0,"[0.8680398797525319, 0.9852980080312973, 0.9129957503505703, 1.0837642008351978, 1.0750510751891007]"
4,3,"[1.1378693388289531, 1.1941274673657565, 1.2838319012359687, 0.8357817142885916, 1.2830430841391274]"
4,3,"[0.9240515385535377, 0.9794401552454037, 1.0600749857033895, 0.6213026156883673, 1.1366885624823952]"
5,2,"[1.124560024616762, 0.9852379653118508, 0.8842568528366358, 1.0289322678567845, 0.8910737665352605]"
8,3,"[1.1691398011207528, 1.2608513237911372, 1.3783678932920518, 1.0294643516410162, 1.5665729730542575]"
5,4,"[1.1526403764662883, 0.9903946670550254, 0.8782861337149743, 1.0008880937313382, 0.763747207524776]"
7,4,"[0.905734027975457, 1.0303622022756387, 0.9535407760048615, 1.0063421647288509, 0.8087537556437621]"
3,4,"[0.8723503850238261, 1.011565008176758, 1.2036074259267182, 0.9011868614789261, 0.7270101397464255]"
3,4,"[0.9310099051708358, 0.9241774671730997, 0.7948756994393633, 0.9372290377303929, 0.7226343004062086]"
3,4,"[0.8259393746401807, 0.8026906065509273, 1.0455574796620766, 1.1739109192956168, 0.6377233962679467]"
5,4,"[1.3206059916827344, 1.1963139078284621, 1.078701626654646, 1.3881263210277022, 0.9993615602125239]"
8,3,"[1.232040495293278, 1.1728091203467097, 1.1383791421686298, 0.9383415824187271, 1.435946738194893]"
2,1,"[0.8698472567075497, 0.711551652075302, 0.9630785349703003, 0.8519233857681953, 0.9225349623726389]"
8,3,"[0.884138673723483, 1.013389739420927, 1.1538665038626932, 0.7015813859069296, 1.2965683225784193]"
5,2,"[1.0944510117800488, 1.267834299637874, 1.0419399105879454, 1.3789498338391755, 1.1342659963113255]"
7,4,"[1.0493941524939432, 1.275329998271876, 1.2604684603739984, 1.4731010070088877, 0.8783286221016363]"
5,0,"[1.0641544882845841, 1.1056876774351505, 1.2230459451942914, 1.343801427387424, 1.0684038338399005]"
4,3,"[1.1294968338353155, 1.1060243620134307, 1.1452930629170022, 0.655136150323666, 1.3455927697132677]"
1,2,"[0.8908080605797309, 0.9308486308831102, 0.6529500911064455, 0.9673559995953618, 1.0800237833532786]"
5,4,"[1.0613676194399853, 1.192244996792602, 1.0568841543622405, 1.261996207671021, 1.045006450712903]"
0,0,"[0.6441897312829611, 0.8854976217375116, 0.9665530442266426, 0.9331474392555392, 0.8187192337464518]"
7,4,"[0.9955374858982369, 0.9974275274737421, 1.1765352891077452, 1.1709983891218532, 0.8551847625552323]"
8,3,"[1.191141066402292, 1.286806093322117, 1.4489096509386985, 0.9886226758630752, 1.4681217477796764]"
1,2,"[0.8969659024168826, 1.0122848746806685, 0.5313536007480051, 1.2358021880423375, 1.1552025078820933]"
7,4,"[1.2023685478429837, 1.1262766904854846, 1.0879953725133795, 1.282815492424788, 0.9972641561376641]"
0,0,"[0.9420495836409047, 1.0787594171540411, 1.005014215206888, 1.5268529689232866, 1.009821481260848]"
8,3,"[1.3367557286810066, 1.2531232784006652, 1.1985804914741884, 0.9425182662241803, 1.3876083867982487]"
8,3,"[1.1078835560582923, 0.9527830679494155, 0.9696892006881896, 0.8472738593372833, 1.243847576170123]"
0,0,"[0.7465872396349621, 0.9962102957086785, 0.911741033798705, 1.171010719887041, 1.1873997213582272]"
3,4,"[1.2666685169634715, 1.390675878958846, 1.0982111259336271, 1.5809174614610022, 1.0118682320483496]"
0,0,"[0.7289295322654861, 1.0025806312647711, 1.0875451495574302, 1.2299767751075128, 1.2383219057667987]"
1,2,"[1.2358094755241231, 0.9902185041376457, 0.9766283618471878, 1.5260900569404157, 1.2691041378990087]"
5,4,"[1.0855576370719555, 1.2806039917806102, 1.0464520499617913, 1.3890513291647777, 0.6788594290188199]"
3,4,"[0.7565392653089105, 0.8674691501980281, 0.7499659643762192, 0.9922034478961573, 0.393529872785914]"
8,3,"[0.6611035720735436, 0.5800642890020014, 0.7384484573858905, 0.4354493044426517, 0.8673293950865256]"
5,4,"[0.6206480541318615, 0.6727458271526758, 0.616688704790063, 0.9610901738092001, 0.37378132985075374]"
4,3,"[0.48226003680518925, 0.4447855885324887, 0.5246500721818483, 0.2902294129533216, 0.6965685855030748]"
5,4,"[0.4748799248569537, 0.47169522064770997, 0.45788663104231453, 0.720317938491051, 0.27076428764264376]"
5,4,"[0.5502734853469161, 0.6266347111302345, 0.5612373480341417, 0.8843230968693978, 0.3348085901962297]"
5,4,"[0.4498245554601486, 0.461861524429043, 0.4265658616326567, 0.702037700191016, 0.23981913065064256]"
7,4,"[0.49411707777282804, 0.5318289817881431, 0.48369597136815207, 0.728996028750118, 0.24204485606623558]"
6,3,"[0.40080124976684184, 0.42678539637114665, 0.41725372553575507, 0.29755752115306944, 0.6241359405580746]"
6,3,"[0.4960361704815877, 0.5331156203189403, 0.5186726178988358, 0.34235839193617346, 0.6998082919857053]"
0,0,"[0.24585791242249164, 0.3238734598677002, 0.33025620775134235, 0.555760619706893, 0.5875658030063966]"
3,4,"[0.48742106094859866, 0.5871064976582276, 0.4859335399117028, 0.7758763336748152, 0.26507470862771193]"
3,4,"[0.4946757321805731, 0.4995767351556011, 0.46103751812217886, 0.7378703312449073, 0.20969819666123937]"
2,1,"[0.2632579463789256, 0.1980157630203235, 0.2879822138466828, 0.4360196252668717, 0.4659354278667601]"
8,3,"[0.4136898644812914, 0.4103086841008303, 0.44392771234746564, 0.2456861025855291, 0.6442123857536635]"
3,4,"[0.4199840068131725, 0.46652942062467984, 0.41930733879250237, 0.659204471417248, 0.15017230453505628]"
8,3,"[0.5433427715266099, 0.49710631041770864, 0.5637214447423031, 0.2605901367175823, 0.7401256440814525]"
5,4,"[0.5022830480463101, 0.48849345494814056, 0.44780338451639595, 0.7511793452467951, 0.26080454003345394]"
3,4,"[0.403544316084064, 0.44200128421811735, 0.39868994074102926, 0.6510504334704184, 0.1905731834982957]"
7,4,"[0.4166374495632447, 0.42081269344594646, 0.4265529246210596, 0.6199355454985028, 0.2306475245060802]"
8,3,"[0.4423926130953689, 0.393418155642655, 0.45945213794201656, 0.2244531959284883, 0.6497990731172101]"
3,4,"[0.5096191794345574, 0.5283505519194736, 0.49610338059109554, 0.7786073538900351, 0.20255979522961526]"
8,3,"[0.4200015800951717, 0.39064024635121275, 0.47701487601732406, 0.22885376816460865, 0.6588005382675824]"
8,3,"[0.44743506016152795, 0.42996438032348555, 0.46552391022927964, 0.25926286876907906, 0.6493582969975832]"
6,3,"[0.39941973262479435, 0.37293007707183257, 0.38481478795622825, 0.220147999560863, 0.5790927869260014]"
4,3,"[0.38326946497298153, 0.3752099725673204, 0.41912297043401, 0.14013373549334607, 0.6124147715665472]"
3,4,"[0.4509818588576583, 0.49361625616053256, 0.4384144879434409, 0.7008371081032455, 0.12678533617142346]"
6,3,"[0.3773877777861109, 0.37284056987107406, 0.38640231060290936, 0.24419744528320148, 0.5609958434509633]"
3,4,"[0.4533298789137812, 0.5020168121886934, 0.4402389612728654, 0.7151891928115885, 0.14019216242089286]"
